key,value,status
1,Make a Python Game,False
2,Finish Grocery App/Database,False
3,Organize Closet,False
4,Clean Stove,False
5,Project Tutorials (YouTube),False
6,Organize Scratch Directory,False
7,Update Github,False
8,Update Resume,False
9,Look up Recipes,False
